strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Brazil/RS-5587CVL/2020	EPI_ISL_1469656		Diretoria de Vigilância em Saúde	Epiclin	Fernando Hayashi Sant’Anna et al
hCoV-19/Brazil/PE-FIOCRUZ-IAM3297/2020	EPI_ISL_3704614		LACEN/PE	WallauLab on behalf of Fiocruz COVID-19 Genomic Surveillance Network	Marcelo Henrique dos Santos Paiva et al
hCoV-19/Paraguay/iics_12241/2021	EPI_ISL_2444832		IICS-UNA	IICS-UNA	Magaly Martinez et al
hCoV-19/Uruguay/CUY12-002838-UYRN/2021	EPI_ISL_2965572		Laboratorio de Virología Molecular, Centro Universitario Regional del Litoral Norte. Universidad de la República, Salto, Uruguay	Centro de Innovación en Vigilancia Epidemiológica (CiVE), Institut Pasteur Montevideo, Uruguay	Natalia Rego et al
hCoV-19/Paraguay/33610/2020	EPI_ISL_1340751		Departamento de Virologia, Laboratorio Central de Salud Pública, Avenida Venezuela y Teniente Escurra, Asunción, Paraguay	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Philippines/PH-PGC-01719/2020	EPI_ISL_2105258		Cagayan Valley Medical Center Molecular Laboratory	Philippine Genome Center	Francis A. Tablizo et al
hCoV-19/NewZealand/20VR0712/2020	EPI_ISL_456163	MZ331884.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/Belgium/ULG-10243/2020	EPI_ISL_498149		Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
hCoV-19/England/QEUH-96C1AC/2020	EPI_ISL_530867		Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Harper VanSteenhouse et al
hCoV-19/Guinea/Conakry_IPG2287/2020	EPI_ISL_2245798		Institut Pasteur de Guinée	Institut Pateur de Dakar	Grayo Solene et al
hCoV-19/Guinea/C4/2021	EPI_ISL_3281521		Laboratory CREAMS (from Russian) in Kindia, Guinea	Department of Microbiology, Russian Anti-Plague Research Institute	A.A. Kritsky et al
hCoV-19/NewZealand/20CV0502/2020	EPI_ISL_622828		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Crimea/RII-MH2936S/2020	EPI_ISL_733077		HELIX LLC	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Peru/PIU-INS-840/2020	EPI_ISL_1532235		Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud Perú	Laboratorio de Referencia Nacional de Biotecnología y Biología Molecular. Instituto Nacional de Salud Perú	Carlos Padilla Rojas et al
hCoV-19/NewZealand/20VR3804/2020	EPI_ISL_548139		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Algeria/G35155-8850/2020	EPI_ISL_766864		NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al
hCoV-19/Mexico/TLA-InDRE_141/2020	EPI_ISL_913944		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/TAB-InDRE_446/2021	EPI_ISL_1168524		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/USA/ND-NDDH-2908/2020	EPI_ISL_3062138		North Dakota Department of Health, Public Health Laboratory	North Dakota Department of Health, Public Health Laboratory	Lisa Wingerter et al
hCoV-19/SouthAfrica/KRISP-K002727/2020	EPI_ISL_529726		NHLS-IALCH	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J et al
hCoV-19/Peru/LIM-INS-536/2020	EPI_ISL_1111432		Laboratorio de Referencia Nacional de Enteropatógenos. Instituto Nacional de Salud del Perú	Laboratorio de Referencia Nacional de Enteropatógenos. Instituto Nacional de Salud del Perú	Ronnie Gavilan Chavez et al
hCoV-19/USA/OK-ADDL-03/2020	EPI_ISL_535362	MT998443.1	Oklahoma Animal Disease Diagnostic Laboratory	Oklahoma Animal Disease Diagnostic Laboratory	Sai Narayanan et al
hCoV-19/Kazakhstan/3601/2021	EPI_ISL_1448018		Laboratory of virology, National center of expertise	RSE "National Center for Biotechnology" and RSE "National Center of Expertise"	Shevtsov Alexandr et al
hCoV-19/Malaysia/HPUPM_ML5767/2020	EPI_ISL_861719		Department of Medical Microbiology, Hospital Pengajar Universiti Putra Malaysia	Malaysia Genome Institute	Mohd Noor Mat Isa et al
hCoV-19/Philippines/PH-RITM-0028/2020	EPI_ISL_833333		Batangas City Health Office	Research Institute for Tropical Medicine	Hannah Leah Morito et al
hCoV-19/Philippines/PH-PGC-03264/2020	EPI_ISL_2155095		Research Institute for Tropical Medicine, Inc. (RITM)	Philippine Genome Center	Francis A. Tablizo et al
hCoV-19/SaudiArabia/KAUST-JEDDAH868/2020	EPI_ISL_513022		Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Afrah Alsomali et al
hCoV-19/Zimbabwe/ZW-36225/2020	EPI_ISL_1191833		National Microbiology Reference Laboratory	Quadram Institute Bioscience	Tapfumanei Mashe et al
hCoV-19/SouthKorea/KCDC2779/2020	EPI_ISL_526713		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
hCoV-19/Japan/IC-0492/2020	EPI_ISL_768701		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al D
hCoV-19/Poland/Masovia-12866/2020	EPI_ISL_754906		Laboratory Diagnostics and Clinical Immunology of Developmental Age, Medical University of Warsaw	genXone SA, Research & Development Laboratory; The Faculty of Mathematics, Informatics and Mechanics of the University of Warsaw	Maciej Sykulski et al
hCoV-19/Poland/IHG-PAS-8-29/2020	EPI_ISL_582031	MW127515.1	Institute of Human Genetics, Polish Academy of Sciences	Institute of Human Genetics, Polish Academy of Sciences	Szymon Hryhorowicz et al
hCoV-19/Sweden/21-00333/2020	EPI_ISL_913476		Klinisk mikrobiologi	The Public Health Agency of Sweden	Anna-Malin Linde et al
hCoV-19/Ghana/WACCBIP-GS479/2020	EPI_ISL_2422527		West African Centre for Cell Biology of Infectious Pathogen, University of Ghana, Legon	WACCBIP, University of Ghana, Volta Road, Legon, Accra	Collins M. Morang'a et al
hCoV-19/Ghana/WACCBIP-GS480/2020	EPI_ISL_2422528		West African Centre for Cell Biology of Infectious Pathogen, University of Ghana, Legon	WACCBIP, University of Ghana, Volta Road, Legon, Accra	Collins M. Morang'a et al
hCoV-19/Ghana/NMIMR-NTRA-9791/2020	EPI_ISL_1018100	MW598434.1	Immunology, Noguchi Memorial Institute for Medical Research	Immunology, Noguchi Memorial Institute for Medical Research	Adu et al
hCoV-19/Niger/17048/2021	EPI_ISL_2835625		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
hCoV-19/Ghana/WACCBIP-GS362/2020	EPI_ISL_1255238		West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana, Accra, Ghana	West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana, Volta Road, Legon-Accra, Ghana	Collins M. Morang'a et al
hCoV-19/Beijing/220/2020	EPI_ISL_1117378		Beijing Center for Disease Prevention and Control	Beijing Center for Disease Prevention and Control	Yang Pan et al
hCoV-19/Australia/NT101/2021	EPI_ISL_854745		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/Chile/RM-251275/2020	EPI_ISL_1167721		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Javier Tognarelli et al
hCoV-19/Georgia/Tb-1679/2020	EPI_ISL_420144		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Gvantsa Chanturia et al
hCoV-19/Slovakia/UKBA-212/2020	EPI_ISL_577742		Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	Faculty of Natural Sciences, Comenius University, Bratislava	Broňa Brejová et al
hCoV-19/NewZealand/20VR3004/2020	EPI_ISL_456396	MZ332367.1	North Shore Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/NewZealand/20VR3066/2020	EPI_ISL_579406	MZ332401.1	North Shore Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/UnitedArabEmirates/12B/2020	EPI_ISL_528686		Alsafar - Khalifa University Abu Dhabi	Alsafar - Khalifa University Abu Dhabi	Andreas Henschel et al
hCoV-19/CostaRica/INC-0061/2020	EPI_ISL_512667		Area De Salud La Cruz	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0060/2020	EPI_ISL_512666		Area De Salud La Cruz	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Morocco/FMP-44/2020	EPI_ISL_775220		Laboratoire Biolife	Laboratoire de Biotechnologie	Mouna Ouadghiri et al
hCoV-19/NewZealand/21CH0007/2021	EPI_ISL_1082255		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/Thailand/Bangkok_KK/2020	EPI_ISL_768616		Rajavithi Hospital	National Institute of Health, Department of Medical Sciences, Ministry of Public Health, Thailand	Pilailuk Okada et al
hCoV-19/Australia/SA0520/2020	EPI_ISL_603125		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Australia/SA0597/2020	EPI_ISL_752599		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Singapore/1009/2020	EPI_ISL_574494		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Brunei/6/2020	EPI_ISL_962877		National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI005/2020	EPI_ISL_955146		University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	Goletić T. et al
hCoV-19/Cyprus/Cy031666/2020	EPI_ISL_1164628		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
hCoV-19/Sweden/20-21506/2020	EPI_ISL_582780		Uppsala klinisk mikrobiologi	The Public Health Agency of Sweden	Anna-Malin Linde et al
hCoV-19/Ghana/35394_S49/2020	EPI_ISL_515094	MT890208.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
hCoV-19/Azerbaijan/Aghayev-04/2021	EPI_ISL_882640		Azerbaijan National Hematology Center Division of Medical Genetics	Azerbaijan National Hematology Center Division of Medical Genetics	Aghayev Agha Rza et al
hCoV-19/USA/AR-QDX-4478/2020	EPI_ISL_937026	MW566472.1	Quest Diagnostics	Quest Diagnostics	Rosenthal et al
hCoV-19/Russia/MOW-RII-MH2917S/2020	EPI_ISL_733069		HELIX LLC	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Botswana/R8B20_BHP_AAB2685/2020	EPI_ISL_1516839		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Wonderful T. Choga et al
hCoV-19/SouthAfrica/KRISP-K003492/2020	EPI_ISL_602822		NHLS-IALCH	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J et al
hCoV-19/Crimea/UA43-CRIE-L189B0546b/2021	EPI_ISL_2031957		Molecular diagnostic laboratory of Federal Budget Institution of Science "Central Research Institute of Epidemiology" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemilology	Samojlov A.E. et al
hCoV-19/Russia/KDA-RII-MH15616S/2020	EPI_ISL_2245700		Department of Experimental Modeling and Pathogenesis of Infectious Diseases	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Lithuania/MR-LUHS-Eilnr189/2020	EPI_ISL_636841		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Molecular cardiology lab.	Lukas Zemaitis et al
hCoV-19/Ecuador/EC-G-124255/2020	EPI_ISL_826829		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	Instituto de Salud Publica de Chile	Javier Tognarelli et al
hCoV-19/Mexico/MEX-InDRE_259/2020	EPI_ISL_1054977		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Iceland/6295/2020	EPI_ISL_829970	OU168602.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al B
hCoV-19/Ecuador/USFQ-1296/2021	EPI_ISL_2228102		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
hCoV-19/Egypt/CPHL-A3/2021	EPI_ISL_3274159		CPHL/MOH/EGYPT	CPHL/MOH/EGYPT	Wael H. Roshdy/ Mohamed Kamal / Shymaa s. Ahmed/ Ramy Galal/Nancy el guindy/ Amel nagiub/salma sayed/ Abd Monaem Adel/Galal Mahmoud/Dalia Ramadan/Rabeh ..R. El/Shesheny/ Mohamed A Ali/Mohamed Hassany et al
hCoV-19/Ecuador/UEES-ECU627/2020	EPI_ISL_1443653		Institute of Microbiology, Universidad San Francisco de Quito	Omics Sciences Laboratory	Derly Andrade Molina et al
hCoV-19/env/Austria/CeMM4214/2021	EPI_ISL_1180891		Department of Microbiology, University Innsbruck	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Qatar/QA-QU_18-3-G11/2021	EPI_ISL_1713617		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
hCoV-19/Pakistan/JRCGR-KHI43/2020	EPI_ISL_779274	MW447629.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research	Shakeel et al
hCoV-19/Bangladesh/CHRF-0356/2021	EPI_ISL_2446031		Child Health Research Foundation	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al
hCoV-19/Australia/VIC15878/2020	EPI_ISL_640543		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	MDU-PHL	Seemann T. et al B
hCoV-19/Bangladesh/NGRI-R3-15/2020	EPI_ISL_1626500		NSTU COVID-19 Diagnostic Center	NSU Genome Research Institute (NGRI)	Maqsud Hossain et al
hCoV-19/Bangladesh/CHRF-0079/2020	EPI_ISL_700342		Child Health Research Foundation	Child Health Research Foundation	Senjuti Saha et al
hCoV-19/Bangladesh/CHRF-0156/2020	EPI_ISL_1360433		Shimantik Pathology and Diagnostic Center	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al
hCoV-19/Georgia/Tb-SNGS125/2021	EPI_ISL_2319002		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili et al
hCoV-19/Bangladesh/BCSIR-NILMRC-696/2021	EPI_ISL_1534620		National Institute of Laboratory Medicine and Referral Center	Genomic Research Lab, BCSIR	Shahina Akter et al
hCoV-19/Bangladesh/CU-CTG-03/2020	EPI_ISL_1123264		Rangamati General Hospital RT-PCR lab	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology	Mohammad Omar Faruque et al
hCoV-19/Oman/52180/2021	EPI_ISL_2925617		Oman-NIC	Oman-National Influenza Center	Samiha Al Kharusi et al
hCoV-19/Bangladesh/CU-CTG-39/2020	EPI_ISL_1123292		University of Chittagong	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology	Robiul Hasan Bhuiyan et al
hCoV-19/Australia/QLD1339/2020	EPI_ISL_849682		Queensland Health Forensic and Scientific Services	Queensland Health Forensic and Scientific Services	Son Nguyen et al
hCoV-19/Australia/VIC16485/2020	EPI_ISL_640675		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	MDU-PHL	Seemann T. et al B
hCoV-19/Australia/TAS00279/2020	EPI_ISL_577607		Royal Hobart Hospital	Royal Hobart Hospital	Cooley L. et al
hCoV-19/Australia/SA0480/2020	EPI_ISL_510544		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Australia/VIC6214/2020	EPI_ISL_518212	MT973264.1	Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al B
hCoV-19/Australia/VIC2279/2020	EPI_ISL_522001	MT969421.1	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	MDU-PHL	Seemann T. et al B
hCoV-19/Australia/ACT0088/2020	EPI_ISL_498546		ACT Pathology	Schwessinger Lab	Ashley Jones et al
hCoV-19/Australia/TAS278/2020	EPI_ISL_522705		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
hCoV-19/Australia/NSW832/2020	EPI_ISL_526174		Sydney South West Pathology Service (SSWPS) - Liverpool Hospital - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
hCoV-19/Australia/GC-291/2020	EPI_ISL_3026018	MZ410620.1	Geelong Centre for Emerging Infectious Diseases, Deakin University	Geelong Centre for Emerging Infectious Diseases, Deakin University	Chamings et al
hCoV-19/Australia/WA190/2020	EPI_ISL_596753		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Australia/VIC14873/2020	EPI_ISL_593039		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	MDU-PHL	Seemann T. et al B
hCoV-19/Australia/SA0477/2020	EPI_ISL_510543		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Australia/QLD1050/2020	EPI_ISL_576137		Queensland Health Forensic and Scientific Services	Queensland Health Forensic and Scientific Services	Son Nguyen et al
hCoV-19/Australia/QLD1138/2020	EPI_ISL_593640		Queensland Health Forensic and Scientific Services	Queensland Health Forensic and Scientific Services	Son Nguyen et al
hCoV-19/Australia/NT53/2020	EPI_ISL_521862	MT972098.1	Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/Australia/NT51/2020	EPI_ISL_521860	MT972099.1	Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/Australia/QLD993/2020	EPI_ISL_530253		Queensland Health Forensic and Scientific Services, Public Health Virology	Public Health Virology Laboratory, Forensic and Scientific Services, Queensland Health	Son Nguyen et al
hCoV-19/Israel/CVL-928ngs/2020	EPI_ISL_889141		Israel Central Virology laboratory	Israel National Consortium for SARS-CoV-2 sequencing	Neta Zuckerman et al
hCoV-19/Canada/NS-NML-5485/2020	EPI_ISL_1055661		QEII Health Sciences Centre	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/USA/NY-PRL-2021_0701_52A13/2020	EPI_ISL_2827612		Pandemic Response Lab - NYC	Pandemic Response Lab, R&D	Henry Lee et al
hCoV-19/Ecuador/EC-M-143748/2020	EPI_ISL_831020		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	Instituto de Salud Publica de Chile	Javier Tognarelli et al
hCoV-19/Greece/6075/2020	EPI_ISL_2312609		Laboratory of Molecular Biology, Mamatsio General Hospital of Kozani	Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)	Emmanouil Athanasiadis et al
hCoV-19/Portugal/PT1599/2020	EPI_ISL_693603		H Beatriz Angelo	Instituto Nacional de Saude (INSA)	Borges et al
hCoV-19/Ghana/UHAS-G441/2020	EPI_ISL_648124		UHAS COVID-19 Lab	UHAS COVID-19 Lab	Kwabena O. Duedu et al
hCoV-19/Crimea/RII-MH9362S/2020	EPI_ISL_733452		HELIX LLC	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Colombia/SAN-576900-002/2020	EPI_ISL_1576835		Universidad Industrial de Santander (Laboratorio Central de Investigaciones - Clínica Chicamocha).	Universidad Industrial de Santander.	Francisco Martinez-Perez et al
hCoV-19/Venezuela/Me890/2021	EPI_ISL_3298685		IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Bolivia/LPZ-1/2021	EPI_ISL_1250842		Clin & Gen Lab	Molecular Genetics Laboratory, Instituto de Investigaciones Químicas, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza et al
hCoV-19/Chile/AP-88807/2021	EPI_ISL_2391189		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Peru/ARE-UPCH-0713/2021	EPI_ISL_3020193		Hospital Carlos Alberto Seguín Escobedo - EsSalud	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Pablo Tsukayama et al
hCoV-19/Ecuador/UEES-11756/2021	EPI_ISL_1443674		Omics Sciences Laboratory	Omics Sciences Laboratory	Derly Andrade Molina et al
hCoV-19/Chile/AN-109415/2021	EPI_ISL_2756111		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Uruguay/CUY1-000134-UYTA/2020	EPI_ISL_3090038		Laboratorio de Virología Molecular, Centro Universitario Regional del Litoral Norte. Universidad de la República, Salto, Uruguay	Centro de Innovación en Vigilancia Epidemiológica (CiVE), Institut Pasteur Montevideo, Uruguay	Natalia Rego et al
hCoV-19/Bolivia/LaPaz_GM3-2/2021	EPI_ISL_2802863		BioMoLab	Molecular Genetics Laboratory, Instituto de Investigaciones Químicas, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza et al
hCoV-19/Ecuador/USFQ-1963/2021	EPI_ISL_3506203		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Juan José Guadalupe et al
hCoV-19/Mexico/BCN-InDRE_FB14862_S2550/2021	EPI_ISL_2479884		LESP Baja California	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Guatemala/ASI4161/2021	EPI_ISL_3835385		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Bolivia/LaPaz_GM3-5/2021	EPI_ISL_2802860		BioMoLab	Microbiologia Molecular, Instituto SELADIS, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza et al
hCoV-19/Bolivia/LaPaz_GM3-3/2021	EPI_ISL_2802858		BioMoLab	Molecular Genetics Laboratory, Instituto de Investigaciones Químicas, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza et al
hCoV-19/Bolivia/Pando-GM2-2/2021	EPI_ISL_2462066		Laboratorio de Referencia Departamental en Inmunología, Sedes-Pando	Molecular Genetics Laboratory, Instituto de Investigaciones Químicas, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza et al
hCoV-19/Guyane/HCL021120467201/2021	EPI_ISL_3130098		BIOMNIS LYON	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
hCoV-19/Brazil/BA-LACEN-BA273/2021	EPI_ISL_3255102		Central Public Health Laboratory - LACEN -Bahia, Salvador, Brazil	Central Public Health Laboratory - LACEN -Bahia, Salvador, Brazil	Stephane Tosta et al
hCoV-19/Mexico/SON_CIAD-HMO_B2030/2021	EPI_ISL_2533931		CIAD-Hermosillo	Immunology Laboratory	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Bolivia/21740/2021	EPI_ISL_2274038		Centro Nacional de Enfermidades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Argentina/PAIS-G0257/2021	EPI_ISL_2271708		Laboratorio Central, Ministerio de Salud Cordoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernandez et al
hCoV-19/Chile/CO-PUC_MVL_1396/2021	EPI_ISL_3758955		Laboratorio de Infectologia y Virologia Molecular	Laboratory of Molecular Virology, School of Medicine, Pontificia Universidad Catolica de Chile	Catalina Pardo-Roa et al
hCoV-19/USA/IL-CDC-LC0057445/2021	EPI_ISL_2184005	MZ253107.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Suriname/SR-523/2021	EPI_ISL_3462723		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/NewZealand/21CV0182/2021	EPI_ISL_1904855		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Canada/BC-BCCDC-115281/2021	EPI_ISL_3491060		British Columbia Centre For Disease Control	BCCDC Public Health Laboratory	Prystajecky Natalie et al
hCoV-19/Argentina/PAIS-G0311/2021	EPI_ISL_2940272		Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
hCoV-19/Paraguay/iics_12537/2021	EPI_ISL_2444819		IICS-UNA	IICS-UNA	Magaly Martinez et al
hCoV-19/Paraguay/iics_12532/2021	EPI_ISL_2444820		IICS-UNA	IICS-UNA	Magaly Martinez et al
hCoV-19/Argentina/PAIS-J00058/2021	EPI_ISL_3825486		Laboratorio Central de Salud Publica	Laboratorio de Biología Molecular, Instituto de Medicina Regional on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Verónica Gómez et al
hCoV-19/Brazil/PR-FIOCRUZ-HF483/2021	EPI_ISL_3914402		Laboratorio Central de Saude Publica do Estado do Parana (Instituto de Biologia Molecular do Paraná (LACEN-PR)	Instituto Carlos Chagas - Fiocruz	Mauro de Medeiros Oliveira et al
hCoV-19/Brazil/SP-HIAE-ID391/2021	EPI_ISL_3261067		LATE - Laboratório de Técnicas Especiais - Hospital Israelita Albert Einstein	LATE - Laboratório de Técnicas Especiais - Hospital Israelita Albert Einstein	Deyvid Amgarten et al
